figure,analysis_cohort,cohort_label,force_g,condition,condition_raw,n_trials,n_subjects,q1,median,q3,iqr,whisker_lo,whisker_hi,mean,sd,row_type,comparison,test,reference,test_group,shown_on_figure,pooling_method,p_value,sig_star,lme_coef,lme_ci_lo,lme_ci_hi,n_ref_observations,n_test_observations,n_ref_subjects,n_test_subjects,n_paired_subjects,mean_ref,mean_test,mean_diff,cohens_d,hedges_g,cohens_d_ci_lo,cohens_d_ci_hi,effect_size_method,sensitivity_note,source,source_raw,both_conditions_at_force,group,group_label,n_observations
onnail_vs_offnail_pooled(final),primary_all,Primary: all included subjects (matches final figures),0.600000,,,,,,,,,,,,,comparison,On-nail (C+D) vs Off-nail (A+F),"LME: accuracy ~ Group, random intercept ~ subject",Off-nail (A+F),On-nail (C+D),True,"subject×area means (C,D,A,F separate)",0.000000,***,11.557870,7.690957,15.424784,90.000000,90.000000,45.000000,45.000000,45.000000,59.891865,71.449735,11.557870,0.875893,0.860878,0.630552,1.194593,paired Cohen's d on subject-level trial-pooled area means (On-nail − Off-nail; bootstrap CI),,,,,,,
onnail_vs_offnail_pooled(final),primary_all,Primary: all included subjects (matches final figures),1.000000,,,,,,,,,,,,,comparison,On-nail (C+D) vs Off-nail (A+F),"LME: accuracy ~ Group, random intercept ~ subject",Off-nail (A+F),On-nail (C+D),True,"subject×area means (C,D,A,F separate)",0.021635,*,4.522817,0.663164,8.382471,60.000000,60.000000,30.000000,30.000000,30.000000,82.478175,87.000992,4.522817,0.349620,0.340500,-0.006386,0.809805,paired Cohen's d on subject-level trial-pooled area means (On-nail − Off-nail; bootstrap CI),,,,,,,
onnail_vs_offnail_pooled(final),sensitivity_full_n30,"Sensitivity: full protocol only (P1–P60, n=30)",0.160000,,,,,,,,,,,,,comparison,On-nail (C+D) vs Off-nail (A+F),"LME: accuracy ~ Group, random intercept ~ subject",Off-nail (A+F),On-nail (C+D),False,"subject×area means (C,D,A,F separate)",0.000001,***,13.859623,8.248708,19.470538,60.000000,60.000000,30.000000,30.000000,30.000000,18.482143,32.341766,13.859623,0.732624,0.713513,0.433393,1.113629,paired Cohen's d on subject-level trial-pooled area means (On-nail − Off-nail; bootstrap CI),,,,,,,
onnail_vs_offnail_pooled(final),sensitivity_full_n30,"Sensitivity: full protocol only (P1–P60, n=30)",0.400000,,,,,,,,,,,,,comparison,On-nail (C+D) vs Off-nail (A+F),"LME: accuracy ~ Group, random intercept ~ subject",Off-nail (A+F),On-nail (C+D),False,"subject×area means (C,D,A,F separate)",,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,No data in this cohort at this force,,,,,,
onnail_vs_offnail_pooled(final),sensitivity_full_n30,"Sensitivity: full protocol only (P1–P60, n=30)",0.600000,,,,,,,,,,,,,comparison,On-nail (C+D) vs Off-nail (A+F),"LME: accuracy ~ Group, random intercept ~ subject",Off-nail (A+F),On-nail (C+D),False,"subject×area means (C,D,A,F separate)",0.002431,**,7.009921,2.478281,11.541560,60.000000,60.000000,30.000000,30.000000,30.000000,61.593750,68.603671,7.009921,0.767608,0.747584,0.424101,1.244613,paired Cohen's d on subject-level trial-pooled area means (On-nail − Off-nail; bootstrap CI),,,,,,,
onnail_vs_offnail_pooled(final),sensitivity_full_n30,"Sensitivity: full protocol only (P1–P60, n=30)",1.000000,,,,,,,,,,,,,comparison,On-nail (C+D) vs Off-nail (A+F),"LME: accuracy ~ Group, random intercept ~ subject",Off-nail (A+F),On-nail (C+D),False,"subject×area means (C,D,A,F separate)",0.021635,*,4.522817,0.663164,8.382471,60.000000,60.000000,30.000000,30.000000,30.000000,82.478175,87.000992,4.522817,0.349620,0.340500,-0.006386,0.809805,paired Cohen's d on subject-level trial-pooled area means (On-nail − Off-nail; bootstrap CI),,,,,,,
onnail_vs_offnail_pooled(final),sensitivity_partial_n15,"Sensitivity: partial protocol only (P61–P75, n=15)",0.160000,,,,,,,,,,,,,comparison,On-nail (C+D) vs Off-nail (A+F),"LME: accuracy ~ Group, random intercept ~ subject",Off-nail (A+F),On-nail (C+D),False,"subject×area means (C,D,A,F separate)",0.000000,***,24.187500,19.053189,29.321811,30.000000,30.000000,15.000000,15.000000,15.000000,8.883929,33.071429,24.187500,2.215816,2.094953,1.759834,3.271106,paired Cohen's d on subject-level trial-pooled area means (On-nail − Off-nail; bootstrap CI),,,,,,,
onnail_vs_offnail_pooled(final),sensitivity_partial_n15,"Sensitivity: partial protocol only (P61–P75, n=15)",0.400000,,,,,,,,,,,,,comparison,On-nail (C+D) vs Off-nail (A+F),"LME: accuracy ~ Group, random intercept ~ subject",Off-nail (A+F),On-nail (C+D),False,"subject×area means (C,D,A,F separate)",0.000000,***,17.876984,13.110431,22.643537,30.000000,30.000000,15.000000,15.000000,15.000000,44.682540,62.559524,17.876984,1.887926,1.784949,1.422607,2.995436,paired Cohen's d on subject-level trial-pooled area means (On-nail − Off-nail; bootstrap CI),,,,,,,
onnail_vs_offnail_pooled(final),sensitivity_partial_n15,"Sensitivity: partial protocol only (P61–P75, n=15)",0.600000,,,,,,,,,,,,,comparison,On-nail (C+D) vs Off-nail (A+F),"LME: accuracy ~ Group, random intercept ~ subject",Off-nail (A+F),On-nail (C+D),False,"subject×area means (C,D,A,F separate)",0.000000,***,20.653770,14.114785,27.192755,30.000000,30.000000,15.000000,15.000000,15.000000,56.488095,77.141865,20.653770,1.328986,1.256495,0.844041,2.290495,paired Cohen's d on subject-level trial-pooled area means (On-nail − Off-nail; bootstrap CI),,,,,,,
onnail_vs_offnail_pooled(final),sensitivity_partial_n15,"Sensitivity: partial protocol only (P61–P75, n=15)",1.000000,,,,,,,,,,,,,comparison,On-nail (C+D) vs Off-nail (A+F),"LME: accuracy ~ Group, random intercept ~ subject",Off-nail (A+F),On-nail (C+D),False,"subject×area means (C,D,A,F separate)",,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,No data in this cohort at this force,,,,,,
onnail_vs_offnail_pooled(final),sensitivity_trial_pooled_n30,"Sensitivity: trial-pooled subject means, full protocol (n=30 per group)",0.160000,,,,,,,,,,,,,comparison,On-nail (C+D) vs Off-nail (A+F),"LME: accuracy ~ Group, random intercept ~ subject",Off-nail (A+F),On-nail (C+D),False,trial-pooled subject means (1 value/subject/group),0.000060,***,13.859623,7.090127,20.629119,30.000000,30.000000,30.000000,30.000000,30.000000,18.482143,32.341766,13.859623,0.732624,0.713513,0.433393,1.113629,paired Cohen's d on subject-level trial-pooled area means (On-nail − Off-nail; bootstrap CI),,,,,,,
onnail_vs_offnail_pooled(final),sensitivity_trial_pooled_n30,"Sensitivity: trial-pooled subject means, full protocol (n=30 per group)",0.400000,,,,,,,,,,,,,comparison,On-nail (C+D) vs Off-nail (A+F),"LME: accuracy ~ Group, random intercept ~ subject",Off-nail (A+F),On-nail (C+D),False,trial-pooled subject means (1 value/subject/group),,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,No data in this cohort at this force,,,,,,
onnail_vs_offnail_pooled(final),sensitivity_trial_pooled_n30,"Sensitivity: trial-pooled subject means, full protocol (n=30 per group)",0.600000,,,,,,,,,,,,,comparison,On-nail (C+D) vs Off-nail (A+F),"LME: accuracy ~ Group, random intercept ~ subject",Off-nail (A+F),On-nail (C+D),False,trial-pooled subject means (1 value/subject/group),0.000026,***,7.009921,3.742044,10.277797,30.000000,30.000000,30.000000,30.000000,30.000000,61.593750,68.603671,7.009921,0.767608,0.747584,0.424101,1.244613,paired Cohen's d on subject-level trial-pooled area means (On-nail − Off-nail; bootstrap CI),,,,,,,
onnail_vs_offnail_pooled(final),sensitivity_trial_pooled_n30,"Sensitivity: trial-pooled subject means, full protocol (n=30 per group)",1.000000,,,,,,,,,,,,,comparison,On-nail (C+D) vs Off-nail (A+F),"LME: accuracy ~ Group, random intercept ~ subject",Off-nail (A+F),On-nail (C+D),False,trial-pooled subject means (1 value/subject/group),0.055499,n.s.,4.522817,-0.106317,9.151952,30.000000,30.000000,30.000000,30.000000,30.000000,82.478175,87.000992,4.522817,0.349620,0.340500,-0.006386,0.809805,paired Cohen's d on subject-level trial-pooled area means (On-nail − Off-nail; bootstrap CI),,,,,,,
