Subject,band,pair_label,region_group,n_trials,n_signal,n_noise,hits,false_alarms,pc,H,FA,d_prime,criterion,pair_type
P53,Low,1–1.4,On-nail,4,4,0,3.0,,0.7,0.7,,0.7416143171871158,0.5244005127080407,comparison-stronger
P53,Low,1–2,Off-nail,4,4,0,4.0,,0.9,0.9,,1.8123876048736465,1.2815515655446004,comparison-stronger
P53,Low,1–2,On-nail,4,4,0,3.0,,0.7,0.7,,0.7416143171871158,0.5244005127080407,comparison-stronger
P54,High,10–26,Off-nail,4,0,4,,1.0,0.7,,0.3,0.7416143171871158,-0.5244005127080409,reference-stronger
P54,High,10–26,On-nail,4,0,4,,0.0,0.9,,0.1,1.8123876048736465,-1.2815515655446004,reference-stronger
P54,High,15–26,Off-nail,4,0,4,,3.0,0.3,,0.7,-0.741614317187116,0.5244005127080407,reference-stronger
P54,High,15–26,On-nail,4,0,4,,2.0,0.5,,0.5,0.0,0.0,reference-stronger
P54,High,26–60,Off-nail,4,4,0,4.0,,0.9,0.9,,1.8123876048736465,1.2815515655446004,comparison-stronger
P54,High,26–60,On-nail,4,4,0,4.0,,0.9,0.9,,1.8123876048736465,1.2815515655446004,comparison-stronger
P54,Low,0.4–1,Off-nail,4,0,4,,0.0,0.9,,0.1,1.8123876048736465,-1.2815515655446004,reference-stronger
P54,Low,0.4–1,On-nail,4,0,4,,0.0,0.9,,0.1,1.8123876048736465,-1.2815515655446004,reference-stronger
P54,Low,0.6–1,Off-nail,4,0,4,,3.0,0.3,,0.7,-0.741614317187116,0.5244005127080407,reference-stronger
P54,Low,0.6–1,On-nail,4,0,4,,3.0,0.3,,0.7,-0.741614317187116,0.5244005127080407,reference-stronger
P54,Low,1–1.4,Off-nail,4,4,0,2.0,,0.5,0.5,,0.0,0.0,comparison-stronger
P54,Low,1–1.4,On-nail,4,4,0,3.0,,0.7,0.7,,0.7416143171871158,0.5244005127080407,comparison-stronger
P54,Low,1–2,Off-nail,4,4,0,4.0,,0.9,0.9,,1.8123876048736465,1.2815515655446004,comparison-stronger
P54,Low,1–2,On-nail,4,4,0,3.0,,0.7,0.7,,0.7416143171871158,0.5244005127080407,comparison-stronger
P55,High,10–26,Off-nail,4,0,4,,0.0,0.9,,0.1,1.8123876048736465,-1.2815515655446004,reference-stronger
P55,High,10–26,On-nail,4,0,4,,1.0,0.7,,0.3,0.7416143171871158,-0.5244005127080409,reference-stronger
P55,High,15–26,Off-nail,4,0,4,,3.0,0.3,,0.7,-0.741614317187116,0.5244005127080407,reference-stronger
P55,High,15–26,On-nail,4,0,4,,2.0,0.5,,0.5,0.0,0.0,reference-stronger
P55,High,26–60,Off-nail,4,4,0,4.0,,0.9,0.9,,1.8123876048736465,1.2815515655446004,comparison-stronger
P55,High,26–60,On-nail,4,4,0,3.0,,0.7,0.7,,0.7416143171871158,0.5244005127080407,comparison-stronger
P55,Low,0.4–1,Off-nail,4,0,4,,1.0,0.7,,0.3,0.7416143171871158,-0.5244005127080409,reference-stronger
P55,Low,0.4–1,On-nail,4,0,4,,1.0,0.7,,0.3,0.7416143171871158,-0.5244005127080409,reference-stronger
P55,Low,0.6–1,Off-nail,4,0,4,,4.0,0.1,,0.9,-1.8123876048736465,1.2815515655446004,reference-stronger
P55,Low,0.6–1,On-nail,4,0,4,,3.0,0.3,,0.7,-0.741614317187116,0.5244005127080407,reference-stronger
P55,Low,1–1.4,Off-nail,4,4,0,2.0,,0.5,0.5,,0.0,0.0,comparison-stronger
P55,Low,1–1.4,On-nail,4,4,0,1.0,,0.3,0.3,,-0.741614317187116,-0.5244005127080409,comparison-stronger
P55,Low,1–2,Off-nail,4,4,0,4.0,,0.9,0.9,,1.8123876048736465,1.2815515655446004,comparison-stronger
P55,Low,1–2,On-nail,4,4,0,2.0,,0.5,0.5,,0.0,0.0,comparison-stronger
P56,High,10–26,Off-nail,4,0,4,,0.0,0.9,,0.1,1.8123876048736465,-1.2815515655446004,reference-stronger
P56,High,10–26,On-nail,4,0,4,,1.0,0.7,,0.3,0.7416143171871158,-0.5244005127080409,reference-stronger
P56,High,15–26,Off-nail,4,0,4,,4.0,0.1,,0.9,-1.8123876048736465,1.2815515655446004,reference-stronger
P56,High,15–26,On-nail,4,0,4,,3.0,0.3,,0.7,-0.741614317187116,0.5244005127080407,reference-stronger
P56,High,26–60,Off-nail,4,4,0,3.0,,0.7,0.7,,0.7416143171871158,0.5244005127080407,comparison-stronger
P56,High,26–60,On-nail,4,4,0,3.0,,0.7,0.7,,0.7416143171871158,0.5244005127080407,comparison-stronger
